O*NET-SOC Code,Title,Task ID,Task,Importance,role
13-1082.00,Project Management Specialists,21473,"Plan, schedule, or coordinate project activities to meet deadlines.",,Owner Representative
13-1082.00,Project Management Specialists,21474,"Prepare and submit budget estimates, progress reports, or cost tracking reports.",,Owner Representative
13-1082.00,Project Management Specialists,21475,Produce and distribute project documents.,,Owner Representative
13-1082.00,Project Management Specialists,21476,"Propose, review, or approve modifications to project plans.",,Owner Representative
13-1082.00,Project Management Specialists,21477,Recruit or hire project personnel.,,Owner Representative
13-1082.00,Project Management Specialists,21478,"Report project status, such as budget, resources, technical issues, or customer satisfaction, to managers.",,Owner Representative
13-1082.00,Project Management Specialists,21479,Request and review project updates to ensure deadlines are met.,,Owner Representative
13-1082.00,Project Management Specialists,21480,Schedule or facilitate project meetings.,,Owner Representative
13-1082.00,Project Management Specialists,21481,"Submit project deliverables to clients, ensuring adherence to quality standards.",,Owner Representative
17-1011.00,"Architects, Except Landscape and Naval",20483,Develop final construction plans that include aesthetic representations of the structure or details for its construction.,4.48,Designer
17-1011.00,"Architects, Except Landscape and Naval",20479,"Prepare scale drawings or architectural designs, using computer-aided design or other tools.",4.43,Designer
17-1011.00,"Architects, Except Landscape and Naval",130,"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.",4.4,Designer
17-1011.00,"Architects, Except Landscape and Naval",131,Consult with clients to determine functional or spatial requirements of structures.,4.38,Designer
17-1011.00,"Architects, Except Landscape and Naval",20481,Meet with clients to review or discuss architectural drawings.,4.38,Designer
17-1011.00,"Architects, Except Landscape and Naval",20485,"Monitor the work of specialists, such as electrical engineers, mechanical engineers, interior designers, or sound specialists to ensure optimal form or function of designs or final structures.",4.33,Designer
17-1011.00,"Architects, Except Landscape and Naval",136,Integrate engineering elements into unified architectural designs.,4.33,Designer
17-1011.00,"Architects, Except Landscape and Naval",20486,Plan layouts of structural architectural projects.,4.25,Designer
17-1011.00,"Architects, Except Landscape and Naval",20484,Conduct periodic on-site observations of construction work to monitor compliance with plans.,4.2,Designer
17-1011.00,"Architects, Except Landscape and Naval",134,Prepare contract documents for building contractors.,4.1,Designer
17-1011.00,"Architects, Except Landscape and Naval",19596,"Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.",4.1,Designer
17-1011.00,"Architects, Except Landscape and Naval",20480,Direct activities of technicians engaged in preparing drawings or specification documents.,4.0,Designer
17-1011.00,"Architects, Except Landscape and Naval",138,Administer construction contracts.,3.94,Designer
17-1011.00,"Architects, Except Landscape and Naval",20488,"Create three-dimensional or interactive representations of designs, using computer-assisted design software.",3.79,Designer
17-1011.00,"Architects, Except Landscape and Naval",139,Represent clients in obtaining bids or awarding construction contracts.,3.71,Designer
17-1011.00,"Architects, Except Landscape and Naval",20482,"Develop marketing materials, proposals, or presentations to generate new work opportunities.",3.57,Designer
17-1011.00,"Architects, Except Landscape and Naval",19595,"Perform predesign services, such as feasibility or environmental impact studies.",3.35,Designer
17-1011.00,"Architects, Except Landscape and Naval",19593,"Design structures that incorporate environmentally friendly building practices or concepts, such as Leadership in Energy and Environmental Design (LEED) standards.",3.06,Designer
17-1011.00,"Architects, Except Landscape and Naval",19592,Design or plan construction of green building projects to minimize adverse environmental impact or conserve energy.,3.0,Designer
17-1011.00,"Architects, Except Landscape and Naval",19594,Gather information related to projects' environmental sustainability or operational efficiency.,2.95,Designer
17-1011.00,"Architects, Except Landscape and Naval",20487,Inspect proposed building sites to determine suitability for construction.,2.89,Designer
17-1011.00,"Architects, Except Landscape and Naval",19591,"Design environmentally sound structural upgrades to existing buildings, such as natural lighting systems, green roofs, or rainwater collection systems.",2.83,Designer
17-1011.00,"Architects, Except Landscape and Naval",19590,Calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.,2.59,Designer
17-1011.00,"Architects, Except Landscape and Naval",140,"Prepare operating and maintenance manuals, studies, or reports.",2.55,Designer
