soc,title,role,task_id,task,importance,K,I,P,A,C,T,R,rationale
17-1011.00,"Architects, Except Landscape and Naval",Designer,20486,Plan layouts of structural architectural projects.,4.25,20,35,15,0,10,15,5,"Planning structural architectural layouts is dominated by interpretive judgment—synthesizing client needs, site constraints, building codes, and spatial logic into coherent designs—alongside substantive knowledge of structural systems and technical execution in producing detailed layout drawings."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20484,Conduct periodic on-site observations of construction work to monitor compliance with plans.,4.2,30,35,15,0,10,5,5,"Site observation for compliance monitoring primarily rewards deep knowledge of construction standards and plans combined with interpretive judgment about whether observed conditions meet design intent, with process control over compliance checkpoints and credential authority underpinning the inspector's findings."
17-1011.00,"Architects, Except Landscape and Naval",Designer,134,Prepare contract documents for building contractors.,4.1,20,15,25,5,20,10,5,"Preparing contract documents is primarily a process-control task (managing document sets, specifications, conditions) requiring substantial credentialed knowledge of building codes and legal standards, with interpretation of project-specific requirements into contractual language."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19596,"Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.",4.1,20,30,15,5,15,10,5,"Architectural design planning is dominated by Interpretation (synthesizing client needs, site constraints, and regulatory requirements into coherent design solutions) and Knowledge (building codes, structural principles, environmental regulations), with meaningful weight on Credential (licensure gatekeeps who can legally stamp drawings) and Process (managing design development workflows and approval stages)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20480,Direct activities of technicians engaged in preparing drawings or specification documents.,4.0,10,15,50,5,10,5,5,"Directing technicians in preparing drawings/specs is primarily about controlling the workflow and approval process (P), with secondary emphasis on interpretation of design intent into actionable direction (I) and knowledge of architectural standards (K)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,138,Administer construction contracts.,3.94,15,20,35,5,15,5,5,"Administering construction contracts is primarily a process-control task (managing approvals, change orders, payment certifications, and compliance checkpoints), requiring substantial knowledge of contract law and construction norms, interpretive judgment on disputes or ambiguities, and credentialed authority as the licensed architect overseeing the work."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20488,"Create three-dimensional or interactive representations of designs, using computer-assisted design software.",3.79,10,20,10,0,5,50,5,"Creating 3D/interactive CAD representations is primarily a technical execution task (hands-on CAD modeling skill), with meaningful interpretation in translating design intent into spatial representations, and modest knowledge of architectural conventions and software capabilities."
17-1011.00,"Architects, Except Landscape and Naval",Designer,139,Represent clients in obtaining bids or awarding construction contracts.,3.71,10,15,25,20,15,5,10,"Representing clients in bidding/contracting is primarily about controlling the procurement workflow (P), leveraging access to contractor networks and bid processes the client can't easily reach (A), with credential signaling to contractors (C) and interpretation of bids/proposals (I)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20482,"Develop marketing materials, proposals, or presentations to generate new work opportunities.",3.57,10,20,15,5,15,10,25,"Developing marketing materials and proposals for new work is fundamentally relational (leveraging reputation and trusted relationships to win clients), interpretive (synthesizing client needs into compelling narratives), and process-driven (managing proposal workflows), with credential signals and domain knowledge playing supporting roles."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19595,"Perform predesign services, such as feasibility or environmental impact studies.",3.35,25,35,15,5,10,5,5,"Predesign feasibility and environmental impact studies are dominated by synthesizing ambiguous site, regulatory, and program data into actionable judgments (Interpretation) supported by deep domain knowledge of codes, environmental factors, and construction economics (Knowledge), with meaningful workflow control over the study process (Process) and credential legitimacy (Credential)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19593,"Design structures that incorporate environmentally friendly building practices or concepts, such as Leadership in Energy and Environmental Design (LEED) standards.",3.06,35,30,10,5,15,5,0,"Designing LEED-compliant structures draws heavily on specialized knowledge of green building standards and materials, combined with interpretive judgment in synthesizing environmental requirements into coherent design solutions, with credential value from LEED certification and architectural licensure signaling competence to clients."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19592,Design or plan construction of green building projects to minimize adverse environmental impact or conserve energy.,3.0,30,35,10,5,10,5,5,"Green building design heavily rewards specialized knowledge (sustainability systems, materials, codes) and interpretive judgment (reconciling environmental goals with client needs, site constraints, and design intent), with credentials playing a supporting role in client trust."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19594,Gather information related to projects' environmental sustainability or operational efficiency.,2.95,35,30,15,10,5,3,2,"Gathering sustainability/efficiency information is primarily driven by domain knowledge of what data matters and interpretation/synthesis of diverse sources, with process control over the research workflow and some access to specialized databases or expert networks."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20487,Inspect proposed building sites to determine suitability for construction.,2.89,35,30,5,5,15,10,0,"Site inspection for construction suitability draws primarily on domain knowledge (soil conditions, zoning, drainage, structural constraints) and interpretive judgment to synthesize observed conditions into a suitability determination, with credential weight reflecting that only licensed architects can formally certify such assessments."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19591,"Design environmentally sound structural upgrades to existing buildings, such as natural lighting systems, green roofs, or rainwater collection systems.",2.83,30,35,10,5,10,8,2,"Designing green building upgrades requires deep knowledge of sustainable systems (K) heavily synthesized through interpretive judgment to reconcile site conditions, performance targets, and design constraints (I), with credential signaling the licensed competence to stamp such work (C) and some process control over the design workflow (P)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19590,Calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.,2.59,35,30,5,5,10,15,0,"This task draws heavily on domain knowledge of energy systems and baseline standards, interpretation in synthesizing and comparing estimates against benchmarks, and technical skill in running energy consumption calculations, with credentials providing some authority to the analysis."
17-1011.00,"Architects, Except Landscape and Naval",Designer,140,"Prepare operating and maintenance manuals, studies, or reports.",2.55,30,25,20,5,10,8,2,"Preparing manuals, studies, and reports draws heavily on architectural domain knowledge (K) and interpretive synthesis of complex building systems and requirements (I), with meaningful process control over document structure and workflow (P), and credential backing for the authority of the content (C)."
