O*NET-SOC Code,Title,Task ID,Task,Importance,CI_lo,CI_hi,N_respondents
15-1253.00,Software Quality Assurance Analysts and Testers,21682,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",,,,
15-1254.00,Web Developers,14707,Write supporting code for Web applications or Web sites.,4.58,,,24.0
15-1254.00,Web Developers,14694,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",4.42,,,24.0
15-1254.00,Web Developers,14698,Back up files from Web sites to local directories for instant recovery in case of problems.,4.35,,,23.0
15-1254.00,Web Developers,14711,"Select programming languages, design tools, or applications.",4.17,,,24.0
15-1254.00,Web Developers,14700,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",4.09,,,23.0
15-1254.00,Web Developers,14704,Develop databases that support Web applications and Web sites.,4.05,,,21.0
15-1254.00,Web Developers,14710,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",4.04,,,23.0
15-1254.00,Web Developers,14695,Perform or direct Web site updates.,4.0,,,24.0
15-1254.00,Web Developers,14701,"Maintain understanding of current Web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",3.83,,,23.0
15-1254.00,Web Developers,14702,Analyze user needs to determine technical requirements.,3.79,,,24.0
15-1254.00,Web Developers,14723,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,3.73,,,15.0
15-1254.00,Web Developers,14713,"Respond to user email inquiries, or set up automated systems to send responses.",3.67,,,24.0
15-1254.00,Web Developers,14705,Renew domain name registrations.,3.67,,,21.0
15-1254.00,Web Developers,14697,"Confer with management or development teams to prioritize needs, resolve conflicts, develop content criteria, or choose solutions.",3.59,,,22.0
15-1254.00,Web Developers,14708,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,3.57,,,21.0
15-1254.00,Web Developers,14706,Collaborate with management or users to develop e-commerce strategies and to integrate these strategies with Web sites.,3.55,,,22.0
15-1254.00,Web Developers,14726,"Document test plans, testing procedures, or test results.",3.54,,,24.0
15-1254.00,Web Developers,14717,Establish appropriate server directory trees.,3.47,,,19.0
15-1254.00,Web Developers,14719,Recommend and implement performance improvements.,3.39,,,23.0
15-1254.00,Web Developers,14728,"Document technical factors such as server load, bandwidth, database performance, and browser and device types.",3.35,,,23.0
15-1254.00,Web Developers,14714,Develop or implement procedures for ongoing Web site revision.,3.29,,,24.0
15-1254.00,Web Developers,14724,"Create Web models or prototypes that include physical, interface, logical, or data models.",3.19,,,21.0
15-1254.00,Web Developers,14722,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",3.18,,,22.0
15-1254.00,Web Developers,14725,Evaluate or recommend server hardware or software.,3.11,,,18.0
15-1254.00,Web Developers,14729,Install and configure hypertext transfer protocol (HTTP) servers and associated operating systems.,2.94,,,18.0
15-1254.00,Web Developers,14727,"Research, document, rate, or select alternatives for Web architecture or technologies.",2.75,,,24.0
15-1254.00,Web Developers,14730,Develop system interaction or sequence diagrams.,2.73,,,22.0
15-1254.00,Web Developers,21683,"Design and implement Web site security measures, such as firewalls and message encryption.",,,,
15-1254.00,Web Developers,21684,"Incorporate technical considerations into Web site design plans, such as budgets, equipment, performance requirements, and legal issues including accessibility and privacy.",,,,
